label_Current_Teacher,CNTLNUM_T,SCHCNTL,CNTLNUM_P,vacnc_difficult_STEM_Yes,number_of_dependents,region_Northeast,region_West,marital_status_Married,race_t_White,race_t_Black,race_t_Hispanic,gender_t_Female,summer_teaching_Yes,nonteaching_job_Yes,nonschool_job_Yes,extracur_act_Yes,merit_pay_Yes,union_member_Yes,BA_major_code_STEM,MA_major_code_STEM,main_tch_fields_cert_type_Regular,MA_deg_Yes,pd_time,pd_finance,remain_in_teaching,STEM_teaching_field,STEM_hours_taught,public_ft_exp,public_pt_exp,private_ft_exp,class_org,main_teaching_lastyr_Same_as_thisyr,ft_pt_status_FT,teaches_ungraded_Yes,teaches_7_to_12,new_teacher_Yes,percent_minority_students,FRPL_eligible_k_12_students,student_teacher_ratio,sch_type,level_Elementary,urbanicity,title_I_receive_students_Yes,age_p,salary,yrs_princpl_this_sch,yrs_princpl_oth_schls,yrs_tchng_before_princpl,yrs_tchng_since_princpl,deg_highest_P,race_p_Black,race_p_White,race_p_Hispanic,gender_p_Female,incentives_pay,incentives_recruit_NonSTEM
0,118442,100377,109059,1,3,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,30,0,0,1,1,1,0,1,0,4,4,16.08,1,0,3,0,3,5,2,7,11,0,3,0,1,0,1,1,1
0,128790,100377,109059,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,2,1,0,23,0,0,1,1,1,0,1,0,4,4,16.08,1,0,3,0,3,5,2,7,11,0,3,0,1,0,1,1,1
0,138133,100399,104346,1,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,2,0,0,30,0,0,1,1,1,0,1,0,2,3,15.59,1,0,2,0,4,3,1,4,7,0,4,0,1,0,0,1,0
0,127434,100402,101077,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,4,1,0,26,0,0,1,1,1,0,1,0,2,0,11.79,1,0,3,0,1,1,0,0,9,0,3,0,1,0,0,0,0
0,138342,100402,101077,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,5,0,0,8,0,0,3,1,1,0,1,0,2,0,11.79,1,0,3,0,1,1,0,0,9,0,3,0,1,0,0,0,0
0,128557,100406,108040,0,2,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,2,0,0,34,0,0,1,1,1,0,1,0,3,3,14.29,1,1,2,0,4,2,1,0,23,0,3,0,1,0,0,0,0
0,112350,100413,108736,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,5,0,0,3,0,3,1,0,1,0,0,0,3,2,22.49,1,1,2,0,3,4,1,0,23,1,3,0,1,0,1,0,0
0,117456,100423,107295,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,2,0,10,28,0,0,3,1,1,0,0,0,2,1,17.97,1,1,2,0,4,2,6,0,13,6,3,0,1,0,1,1,0
0,102081,100425,110340,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,0,0,35,0,0,1,1,1,0,1,0,3,2,17.88,1,0,1,0,4,6,1,18,5,0,5,0,1,0,0,1,0
0,138100,100440,105937,0,6,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,3,0,0,11,2,0,1,1,0,0,1,0,1,3,9.66,1,0,3,1,1,1,1,0,10,1,3,0,1,0,0,0,0
